City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,geraldton,-28.7667,114.6,68.41,94,0,4.61,AU,1675202876
291,elko,41.0002,-115.5012,8.62,70,19,1.01,US,1675202644
292,montepuez,-13.1256,38.9997,69.01,98,10,2.53,MZ,1675202876
293,sitka,57.0531,-135.33,42.69,75,100,0.0,US,1675202877
294,sulangan,11.1373,123.7228,78.91,85,10,14.52,PH,1675202877
295,nordby,55.446,8.3979,41.23,83,75,21.85,DK,1675202878
296,saint george,37.1041,-113.5841,42.44,28,0,5.01,US,1675202878
297,nakamura,32.9833,132.9333,37.51,78,36,3.76,JP,1675202878
298,havelock,34.8791,-76.9013,58.95,89,100,3.44,US,1675202879
299,okato,-39.2,173.8833,68.92,100,99,18.3,NZ,1675202879
300,ukhta,63.5671,53.6835,23.79,87,100,12.55,RU,1675202880
301,lata,40.1629,-8.3327,39.07,80,5,3.06,PT,1675202880
302,bara,10.3744,10.7288,78.4,15,78,8.81,NG,1675202880
303,qarchi gak,37.04,66.7889,48.81,65,100,18.88,AF,1675202881
304,goderich,43.7501,-81.7165,17.91,72,100,10.11,CA,1675202881
305,jiwani,25.05,61.7417,69.06,60,0,5.99,PK,1675202858
306,konevo,62.1215,39.3192,25.23,92,100,10.76,RU,1675202882
307,pingyin,36.2831,116.4453,35.01,31,98,20.6,CN,1675202882
308,torbay,47.6666,-52.7314,33.58,91,97,1.99,CA,1675202883
309,puerto escondido,15.85,-97.0667,85.03,61,0,8.05,MX,1675202883
310,kahului,20.8947,-156.47,79.84,78,40,5.01,US,1675202884
311,west bay,19.3667,-81.4167,82.47,79,40,11.5,KY,1675202884
312,aykhal,66.0,111.5,-30.82,100,91,5.64,RU,1675202885
313,wanning,18.8003,110.3967,65.88,92,16,1.99,CN,1675202613
314,porto novo,6.4965,2.6036,79.18,84,96,6.91,BJ,1675202885
315,zhanaozen,43.3,52.8,33.13,67,100,10.02,KZ,1675202886
316,ginda,30.6945,78.4932,38.91,28,0,8.99,IN,1675202886
317,bar-le-duc,48.75,5.1667,40.23,95,100,11.14,FR,1675202887
318,pisco,-13.7,-76.2167,77.05,73,0,17.27,PE,1675202825
319,warwick,41.7001,-71.4162,37.06,55,40,4.61,US,1675202887
320,pronsk,54.1048,39.6092,24.31,95,96,9.22,RU,1675202888
321,komsomolskiy,40.4272,71.7189,27.32,80,79,4.61,UZ,1675202888
322,berlevag,70.8578,29.0864,31.95,86,75,25.32,NO,1675202889
323,burnie,-41.0667,145.9167,64.94,74,69,11.14,AU,1675202889
324,sept-iles,50.2001,-66.3821,9.05,76,72,5.99,CA,1675202890
325,bjornevatn,69.6672,29.9847,28.74,93,75,10.36,NO,1675202890
326,pozo colorado,-23.4923,-58.7972,79.47,87,48,3.51,PY,1675202891
327,olga,43.7444,135.2892,13.12,82,100,3.91,RU,1675202891
328,bulgan,48.8125,103.5347,-5.6,91,96,2.59,MN,1675202892
329,stawell,-37.05,142.7667,62.26,57,5,6.64,AU,1675202892
330,tanout,14.9709,8.8879,69.69,12,12,14.18,NE,1675202768
331,tura,25.5198,90.2201,60.58,56,95,1.77,IN,1675202893
332,nelson bay,-32.7167,152.15,75.99,81,88,8.99,AU,1675202893
333,palauig,15.435,119.9045,75.61,70,69,4.32,PH,1675202894
334,alekseyevskoye,55.3071,50.1135,28.94,91,83,15.1,RU,1675202894
335,laguna,38.421,-121.4238,57.49,38,0,8.05,US,1675202895
336,kapuskasing,49.4169,-82.4331,14.09,67,100,6.91,CA,1675202895
